Exchange,Name,Type,Min Order Size,Min Grid Step
BYBT,BAKEUSDT,USDT_FUTURES,2 BAKE,0.0002 USDT
BYBT,BCHUSDT,USDT_FUTURES,0.05 BCH,0.2 USDT
BYBT,BELUSDT,USDT_FUTURES,2 BEL,0.0002 USDT
BYBT,BLURUSDT,USDT_FUTURES,3 BLUR,0.00002 USDT
BYBT,BNBUSDT,USDT_FUTURES,0.05 BNB,0.2 USDT
BYBT,BOBAUSDT,USDT_FUTURES,0.5 BOBA,0.00002 USDT
BYBT,BSVUSDT,USDT_FUTURES,0.02 BSV,0.02 USDT
BYBT,CELOUSDT,USDT_FUTURES,0.3 CELO,0.0002 USDT
BYBT,CFXUSDT,USDT_FUTURES,3 CFX,0.00002 USDT
BYBT,CHZUSDT,USDT_FUTURES,5 CHZ,0.00002 USDT
BYBT,CKBUSDT,USDT_FUTURES,70 CKB,0.000002 USDT
BYBT,COMPUSDT,USDT_FUTURES,0.02 COMP,0.02 USDT
BYBT,COREUSDT,USDT_FUTURES,0.3 CORE,0.0002 USDT
BYBT,COTIUSDT,USDT_FUTURES,7 COTI,0.00002 USDT
BYBT,CRVUSDT,USDT_FUTURES,0.3 CRV,0.0002 USDT
BYBT,CTSIUSDT,USDT_FUTURES,3 CTSI,0.00002 USDT
BYBT,CVCUSDT,USDT_FUTURES,4 CVC,0.00002 USDT
BYBT,DASHUSDT,USDT_FUTURES,0.04 DASH,0.02 USDT
BYBT,DOTUSDT,USDT_FUTURES,0.3 DOT,0.0002 USDT
BYBT,DUSKUSDT,USDT_FUTURES,2 DUSK,0.00002 USDT
BYBT,DYDXUSDT,USDT_FUTURES,0.3 DYDX,0.0002 USDT
BYBT,EGLDUSDT,USDT_FUTURES,0.02 EGLD,0.02 USDT
BYBT,ENSUSDT,USDT_FUTURES,0.2 ENS,0.002 USDT
BYBT,ETCUSDT,USDT_FUTURES,0.2 ETC,0.002 USDT
BYBT,FILUSDT,USDT_FUTURES,0.2 FIL,0.002 USDT
BYBT,FLOWUSDT,USDT_FUTURES,0.2 FLOW,0.0002 USDT
BYBT,FXSUSDT,USDT_FUTURES,0.1 FXS,0.0002 USDT
BYBT,GALAUSDT,USDT_FUTURES,2 GALA,0.00002 USDT
BYBT,GMTUSDT,USDT_FUTURES,7 GMT,0.00002 USDT
BYBT,GRTUSDT,USDT_FUTURES,4 GRT,0.00002 USDT
BYBT,HBARUSDT,USDT_FUTURES,2 HBAR,0.00002 USDT
BYBT,HFTUSDT,USDT_FUTURES,2 HFT,0.00002 USDT
BYBT,HIGHUSDT,USDT_FUTURES,0.3 HIGH,0.0002 USDT
BYBT,HNTUSDT,USDT_FUTURES,0.1 HNT,0.002 USDT
BYBT,HOOKUSDT,USDT_FUTURES,0.6 HOOK,0.0002 USDT
BYBT,ICPUSDT,USDT_FUTURES,0.2 ICP,0.002 USDT
BYBT,IDUSDT,USDT_FUTURES,2 ID,0.0002 USDT
BYBT,ILVUSDT,USDT_FUTURES,0.03 ILV,0.02 USDT
BYBT,IMXUSDT,USDT_FUTURES,0.5 IMX,0.0002 USDT
BYBT,INJUSDT,USDT_FUTURES,0.2 INJ,0.002 USDT
BYBT,IOTAUSDT,USDT_FUTURES,2 IOTA,0.0002 USDT
BYBT,IOTXUSDT,USDT_FUTURES,20 IOTX,0.00002 USDT
BYBT,JASMYUSDT,USDT_FUTURES,50 JASMY,0.000002 USDT
BYBT,JSTUSDT,USDT_FUTURES,50 JST,0.00002 USDT
BYBT,KAVAUSDT,USDT_FUTURES,0.5 KAVA,0.0002 USDT
BYBT,KNCUSDT,USDT_FUTURES,0.5 KNC,0.0002 USDT
BYBT,KSMUSDT,USDT_FUTURES,0.03 KSM,0.02 USDT
BYBT,LDOUSDT,USDT_FUTURES,0.2 LDO,0.0002 USDT
BYBT,LINKUSDT,USDT_FUTURES,0.5 LINK,0.002 USDT
BYBT,LPTUSDT,USDT_FUTURES,0.5 LPT,0.002 USDT
BYBT,LRCUSDT,USDT_FUTURES,2 LRC,0.00002 USDT
BYBT,LUNA2USDT,USDT_FUTURES,0.3 LUNA2,0.0002 USDT
BYBT,MAGICUSDT,USDT_FUTURES,2 MAGIC,0.0002 USDT
BYBT,MANAUSDT,USDT_FUTURES,1 MANA,0.0002 USDT
BYBT,MASKUSDT,USDT_FUTURES,0.5 MASK,0.002 USDT
BYBT,MAVUSDT,USDT_FUTURES,3 MAV,0.00002 USDT
BYBT,MINAUSDT,USDT_FUTURES,0.2 MINA,0.0002 USDT
BYBT,MKRUSDT,USDT_FUTURES,0.002 MKR,0.2 USDT
BYBT,MTLUSDT,USDT_FUTURES,0.3 MTL,0.0002 USDT
BYBT,NEARUSDT,USDT_FUTURES,0.5 NEAR,0.002 USDT
BYBT,ONEUSDT,USDT_FUTURES,10 ONE,0.00002 USDT
BYBT,OPUSDT,USDT_FUTURES,0.5 OP,0.0002 USDT
BYBT,ORDIUSDT,USDT_FUTURES,0.01 ORDI,0.002 USDT
BYBT,PAXGUSDT,USDT_FUTURES,0.001 PAXG,0.02 USDT
BYBT,PENDLEUSDT,USDT_FUTURES,2 PENDLE,0.0002 USDT
BYBT,PEOPLEUSDT,USDT_FUTURES,40 PEOPLE,0.00002 USDT
BYBT,RADUSDT,USDT_FUTURES,0.3 RAD,0.0002 USDT
BYBT,RDNTUSDT,USDT_FUTURES,3 RDNT,0.00002 USDT
BYBT,REQUSDT,USDT_FUTURES,2 REQ,0.00002 USDT
BYBT,RLCUSDT,USDT_FUTURES,0.3 RLC,0.0002 USDT
BYBT,ROSEUSDT,USDT_FUTURES,7 ROSE,0.00002 USDT
BYBT,RUNEUSDT,USDT_FUTURES,0.5 RUNE,0.002 USDT
BYBT,RVNUSDT,USDT_FUTURES,10 RVN,0.00002 USDT
BYBT,SANDUSDT,USDT_FUTURES,2 SAND,0.0002 USDT
BYBT,SFPUSDT,USDT_FUTURES,1 SFP,0.0002 USDT
BYBT,SHIB1000USDT,USDT_FUTURES,50 SHIB1000,0.000002 USDT
BYBT,SNXUSDT,USDT_FUTURES,0.3 SNX,0.0002 USDT
BYBT,STXUSDT,USDT_FUTURES,0.3 STX,0.0002 USDT
BYBT,SUSHIUSDT,USDT_FUTURES,0.5 SUSHI,0.0002 USDT
BYBT,THETAUSDT,USDT_FUTURES,0.3 THETA,0.0002 USDT
BYBT,TRBUSDT,USDT_FUTURES,0.02 TRB,0.02 USDT
BYBT,TRXUSDT,USDT_FUTURES,3 TRX,0.00002 USDT
BYBT,TUSDT,USDT_FUTURES,20 T,0.00002 USDT
BYBT,TWTUSDT,USDT_FUTURES,0.3 TWT,0.0002 USDT
BYBT,UMAUSDT,USDT_FUTURES,0.4 UMA,0.002 USDT
BYBT,UNIUSDT,USDT_FUTURES,0.3 UNI,0.002 USDT
BYBT,VETUSDT,USDT_FUTURES,10 VET,0.00002 USDT
BYBT,WAVESUSDT,USDT_FUTURES,0.3 WAVES,0.0002 USDT
BYBT,WOOUSDT,USDT_FUTURES,0.3 WOO,0.00002 USDT
BYBT,XCNUSDT,USDT_FUTURES,100 XCN,0.000002 USDT
BYBT,XEMUSDT,USDT_FUTURES,10 XEM,0.000002 USDT
BYBT,XLMUSDT,USDT_FUTURES,4 XLM,0.00002 USDT
BYBT,XMRUSDT,USDT_FUTURES,0.02 XMR,0.02 USDT
BYBT,XTZUSDT,USDT_FUTURES,0.8 XTZ,0.0002 USDT
BYBT,XVGUSDT,USDT_FUTURES,300 XVG,0.000002 USDT
BYBT,YGGUSDT,USDT_FUTURES,0.2 YGG,0.0002 USDT
BYBT,ZECUSDT,USDT_FUTURES,0.02 ZEC,0.02 USDT
BYBT,ZENUSDT,USDT_FUTURES,0.2 ZEN,0.002 USDT
BYBT,ZRXUSDT,USDT_FUTURES,7 ZRX,0.0002 USDT
BYBT,WLDUSDT,USDT_FUTURES,0.3 WLD,0.0002 USDT
BYBT,ARKMUSDT,USDT_FUTURES,2 ARKM,0.0002 USDT
BYBT,AUCTIONUSDT,USDT_FUTURES,0.2 AUCTION,0.002 USDT
BYBT,ARKUSDT,USDT_FUTURES,2 ARK,0.0002 USDT
BYBT,KASUSDT,USDT_FUTURES,50 KAS,0.00002 USDT
BYBT,ATAUSDT,USDT_FUTURES,20 ATA,0.00002 USDT
BYBT,CYBERUSDT,USDT_FUTURES,0.2 CYBER,0.002 USDT
BYBT,SEIUSDT,USDT_FUTURES,5 SEI,0.0002 USDT
BYBT,HIFIUSDT,USDT_FUTURES,2 HIFI,0.00002 USDT
BYBT,OGUSDT,USDT_FUTURES,0.2 OG,0.0002 USDT
BYBT,NMRUSDT,USDT_FUTURES,0.2 NMR,0.002 USDT
BYBT,PROMUSDT,USDT_FUTURES,0.2 PROM,0.002 USDT
BYBT,MNTUSDT,USDT_FUTURES,2 MNT,0.0002 USDT
BYBT,BIGTIMEUSDT,USDT_FUTURES,2 BIGTIME,0.00002 USDT
BYBT,GASUSDT,USDT_FUTURES,0.2 GAS,0.002 USDT
BYBT,POLYXUSDT,USDT_FUTURES,2 POLYX,0.0002 USDT
BYBT,POWRUSDT,USDT_FUTURES,2 POWR,0.0002 USDT
BYBT,TIAUSDT,USDT_FUTURES,0.2 TIA,0.002 USDT
BYBT,SNTUSDT,USDT_FUTURES,30 SNT,0.00002 USDT
BYBT,CAKEUSDT,USDT_FUTURES,0.3 CAKE,0.002 USDT
BYBT,MEMEUSDT,USDT_FUTURES,20 MEME,0.000002 USDT
BYBT,TOKENUSDT,USDT_FUTURES,20 TOKEN,0.00002 USDT
BYBT,BEAMUSDT,USDT_FUTURES,200 BEAM,0.000002 USDT
BYBT,10000SATSUSDT,USDT_FUTURES,200 10000SATS,0.0000002 USDT
BYBT,PYTHUSDT,USDT_FUTURES,7 PYTH,0.0002 USDT
BYBT,GODSUSDT,USDT_FUTURES,2 GODS,0.0002 USDT
BYBT,1000RATSUSDT,USDT_FUTURES,20 1000RATS,0.00002 USDT
BYBT,MOVRUSDT,USDT_FUTURES,0.2 MOVR,0.002 USDT
BYBT,RAREUSDT,USDT_FUTURES,2 RARE,0.00002 USDT
BYBT,USTCUSDT,USDT_FUTURES,50 USTC,0.00002 USDT
BYBT,AXLUSDT,USDT_FUTURES,2 AXL,0.0002 USDT
BYBT,JTOUSDT,USDT_FUTURES,0.3 JTO,0.002 USDT
BYBT,QIUSDT,USDT_FUTURES,30 QI,0.000002 USDT
BYBT,ACEUSDT,USDT_FUTURES,0.2 ACE,0.0002 USDT
BYBT,LSKUSDT,USDT_FUTURES,0.5 LSK,0.0002 USDT
BYBT,XAIUSDT,USDT_FUTURES,2 XAI,0.00002 USDT
BYBT,WIFUSDT,USDT_FUTURES,2 WIF,0.0002 USDT
BYBT,MANTAUSDT,USDT_FUTURES,0.4 MANTA,0.0002 USDT
BYBT,MYROUSDT,USDT_FUTURES,3 MYRO,0.00002 USDT
BYBT,ONDOUSDT,USDT_FUTURES,3 ONDO,0.0002 USDT
BYBT,ALTUSDT,USDT_FUTURES,2 ALT,0.00002 USDT
BYBT,TAOUSDT,USDT_FUTURES,0.003 TAO,0.02 USDT
BYBT,10000WENUSDT,USDT_FUTURES,2 10000WEN,0.0002 USDT
BYBT,JUPUSDT,USDT_FUTURES,2 JUP,0.0002 USDT
BYBT,ZETAUSDT,USDT_FUTURES,2 ZETA,0.0002 USDT
BYBT,CETUSUSDT,USDT_FUTURES,3 CETUS,0.00002 USDT
BYBT,DYMUSDT,USDT_FUTURES,0.2 DYM,0.0002 USDT
BYBT,MAVIAUSDT,USDT_FUTURES,0.3 MAVIA,0.0002 USDT
BYBT,PIXELUSDT,USDT_FUTURES,2 PIXEL,0.00002 USDT
BYBT,STRKUSDT,USDT_FUTURES,0.2 STRK,0.0002 USDT
BYBT,1000TURBOUSDT,USDT_FUTURES,3 1000TURBO,0.0002 USDT
BYBT,AEVOUSDT,USDT_FUTURES,0.3 AEVO,0.0002 USDT
BYBT,BOMEUSDT,USDT_FUTURES,200 BOME,0.000002 USDT
BYBT,OMUSDT,USDT_FUTURES,3 OM,0.0002 USDT
BYBT,POPCATUSDT,USDT_FUTURES,3 POPCAT,0.0002 USDT
BYBT,DEGENUSDT,USDT_FUTURES,30 DEGEN,0.000002 USDT
BYBT,ENAUSDT,USDT_FUTURES,3 ENA,0.0002 USDT
BYBT,WUSDT,USDT_FUTURES,1 W,0.00002 USDT
BYBT,SAGAUSDT,USDT_FUTURES,0.2 SAGA,0.0002 USDT
BYBT,OMNIUSDT,USDT_FUTURES,0.04 OMNI,0.002 USDT
BYBT,MERLUSDT,USDT_FUTURES,1 MERL,0.00002 USDT
BYBT,MEWUSDT,USDT_FUTURES,500 MEW,0.000002 USDT
BYBT,BRETTUSDT,USDT_FUTURES,20 BRETT,0.00002 USDT
BYBT,BBUSDT,USDT_FUTURES,5 BB,0.0002 USDT
BYBT,NOTUSDT,USDT_FUTURES,100 NOT,0.000002 USDT
BYBT,1000000MOGUSDT,USDT_FUTURES,2 1000000MOG,0.0002 USDT
BYBT,IOUSDT,USDT_FUTURES,0.3 IO,0.0002 USDT
BYBT,1000000BABYDOGEUSDT,USDT_FUTURES,500 1000000BABYDOGE,0.0000002 USDT
BYBT,ATHUSDT,USDT_FUTURES,20 ATH,0.00002 USDT
BYBT,ZROUSDT,USDT_FUTURES,0.3 ZRO,0.0002 USDT
BYBT,1000000PEIPEIUSDT,USDT_FUTURES,2 1000000PEIPEI,0.00002 USDT
BYBT,MOCAUSDT,USDT_FUTURES,3 MOCA,0.00002 USDT
BYBT,DOGSUSDT,USDT_FUTURES,1000 DOGS,0.0000002 USDT
BYBT,POLUSDT,USDT_FUTURES,1 POL,0.0002 USDT
BYBT,CATIUSDT,USDT_FUTURES,2 CATI,0.00002 USDT
BYBT,HMSTRUSDT,USDT_FUTURES,100 HMSTR,0.0000002 USDT
BYBT,EIGENUSDT,USDT_FUTURES,1 EIGEN,0.0002 USDT
BYBT,MOODENGUSDT,USDT_FUTURES,3 MOODENG,0.00002 USDT
BYBT,GOATUSDT,USDT_FUTURES,3 GOAT,0.00002 USDT
BYBT,1000XUSDT,USDT_FUTURES,30 1000X,0.00002 USDT
BYBT,SPXUSDT,USDT_FUTURES,2 SPX,0.0002 USDT
BYBT,VIRTUALUSDT,USDT_FUTURES,1 VIRTUAL,0.0002 USDT
BYBT,ACTUSDT,USDT_FUTURES,3 ACT,0.00002 USDT
BYBT,PNUTUSDT,USDT_FUTURES,2 PNUT,0.0002 USDT
BYBT,FWOGUSDT,USDT_FUTURES,10 FWOG,0.00002 USDT
BYBT,PEAQUSDT,USDT_FUTURES,3 PEAQ,0.0002 USDT
BYBT,1000TOSHIUSDT,USDT_FUTURES,2 1000TOSHI,0.0002 USDT
BYBT,MOVEUSDT,USDT_FUTURES,2 MOVE,0.0002 USDT
BYBT,PENGUUSDT,USDT_FUTURES,20 PENGU,0.000002 USDT
BYBT,USUALUSDT,USDT_FUTURES,3 USUAL,0.00002 USDT
BYBT,HYPEUSDT,USDT_FUTURES,0.03 HYPE,0.002 USDT
BYBT,AIXBTUSDT,USDT_FUTURES,20 AIXBT,0.00002 USDT
BYBT,FARTCOINUSDT,USDT_FUTURES,2 FARTCOIN,0.0002 USDT
BYBT,GRIFFAINUSDT,USDT_FUTURES,3 GRIFFAIN,0.00002 USDT
BYBT,AI16ZUSDT,USDT_FUTURES,2 AI16Z,0.0002 USDT
BYBT,ZEREBROUSDT,USDT_FUTURES,3 ZEREBRO,0.00002 USDT
BYBT,SONICUSDT,USDT_FUTURES,3 SONIC,0.0002 USDT
BYBT,SUSDT,USDT_FUTURES,2 S,0.0002 USDT
BYBT,TRUMPUSDT,USDT_FUTURES,0.1 TRUMP,0.002 USDT
BYBT,MELANIAUSDT,USDT_FUTURES,0.2 MELANIA,0.0002 USDT
BYBT,VINEUSDT,USDT_FUTURES,2 VINE,0.00002 USDT
BYBT,PLUMEUSDT,USDT_FUTURES,3 PLUME,0.00002 USDT
BYBT,BERAUSDT,USDT_FUTURES,1 BERA,0.002 USDT
BYBT,KAITOUSDT,USDT_FUTURES,2 KAITO,0.0002 USDT
BYBT,ELXUSDT,USDT_FUTURES,2 ELX,0.0002 USDT
BYBT,MUBARAKUSDT,USDT_FUTURES,10 MUBARAK,0.00002 USDT
BYBT,PARTIUSDT,USDT_FUTURES,1 PARTI,0.0002 USDT
BYBT,GUNUSDT,USDT_FUTURES,5 GUN,0.00002 USDT
BYBT,XAUTUSDT,USDT_FUTURES,0.01 XAUT,0.02 USDT
BYBT,WCTUSDT,USDT_FUTURES,3 WCT,0.0002 USDT
BYBT,ZORAUSDT,USDT_FUTURES,20 ZORA,0.000002 USDT
BYBT,DOODUSDT,USDT_FUTURES,30 DOOD,0.000002 USDT
BYBT,HUMAUSDT,USDT_FUTURES,10 HUMA,0.00002 USDT
BYBT,AUSDT,USDT_FUTURES,1 A,0.0002 USDT
